Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
70,Durham University,United Kingdom,15490,15.7,24%,54:46:00,63.6,47.9,51.9,87.7,34.4,86.4,2016
71,Erasmus University Rotterdam,Netherlands,20580,18.9,17%,48:52:00,63.5,37.2,55.2,95.6,54.6,76.1,2016
72,Free University of Berlin,Germany,33062,39.3,20%,58:42:00,63.2,57.9,72.2,60.2,35.1,69.2,2016
73,Monash University,Australia,50882,40.5,36%,56:44:00,62.8,48.3,59.1,73.3,82.5,87.6,2016
74,University of Groningen,Netherlands,24556,25.6,11%,52:48:00,62.4,43.3,56.9,84,92.4,63.9,2016
75,Penn State (Main campus),United States,44501,12.4,12%,46:54:00,62.3,50.4,61.9,80.5,56.2,40.8,2016
76,University of Helsinki,Finland,23505,15.1,6%,66:34:00,61.9,48.4,60.4,82.1,31.6,51.8,2016
76,University of Glasgow,United Kingdom,22615,16,29%,57:43:00,61.9,41.6,48.3,92.3,31.6,85.8,2016
78,University of Tübingen,Germany,28327,38.9,12%,58:42:00,61.7,47,59.8,79.3,59.2,58.2,2016
79,University of Pittsburgh-Pittsburgh campus,United States,26485,5.8,10%,51:49:00,61.5,50.6,50.3,92.3,39.3,33.9,2016
80,University of Warwick,United Kingdom,18530,16.6,37%,48:52:00,61.3,47.4,53.1,78.2,37.7,90.3,2016
81,Uppsala University,Sweden,25266,18.2,12%,57:43:00,61.2,44.1,61,80.9,39.5,59.6,2016
82,University of Copenhagen,Denmark,27545,4.1,19%,67:33:00,61,49.8,42.7,86.2,45,83.3,2016
82,UNSW Sydney,Australia,38309,25.9,32%,47:53:00,61,40.7,53.9,82.1,50,89.5,2016
84,University of Freiburg,Germany,26467,31.2,16%,52:48:00,60.7,47.4,51.1,80.5,100,60.3,2016
85,Seoul National University,South Korea,26389,13.9,10%,,60.5,66.5,70.5,50,85.4,30.9,2016
86,University of St Andrews,United Kingdom,8340,12.7,47%,56:44:00,60.4,49.7,47.3,78.8,30.6,92.3,2016
87,Vanderbilt University,United States,12161,3.6,9%,52:48:00,60.1,47.8,44.2,95.7,63.2,29.1,2016
88,Maastricht University,Netherlands,15626,18.9,48%,56:44:00,59.9,37.5,47.7,82.7,95.4,95.5,2016
88,Kyoto University,Japan,22809,5.6,7%,,59.9,70.6,69.3,46.6,79,26.1,2016
90,Ohio State University (Main campus),United States,51462,13.4,12%,49:51:00,59.7,51.6,46.6,83.2,53.1,53,2016
90,Emory University,United States,12338,4.5,18%,56:44:00,59.7,48.3,37.1,96.7,48.9,51,2016
90,Lund University,Sweden,28251,11.5,15%,,59.7,39.7,53.6,81.3,70.4,74.1,2016
93,University of Exeter,United Kingdom,17755,18.8,28%,54:46:00,59.5,39.4,40,94.3,31.9,87.3,2016
94,University of Bonn,Germany,32474,70.4,12%,55:45:00,58.8,45.1,47.5,85.3,53.04464286,63.6,2016
94,Georgetown University,United States,15408,8.5,14%,53:47:00,58.8,54.4,39.3,82.5,80.7,52.7,2016
94,McMaster University,Canada,23823,19.3,15%,53:47:00,58.8,39.8,44.8,84.9,88,76.1,2016
97,University of Sheffield,United Kingdom,23310,15.4,31%,50:50:00,58.6,42.4,48.8,80.1,43.4,81.9,2016
98,Queen Mary University of London,United Kingdom,14260,14,40%,52:48:00,58.5,34.1,41.3,93.3,36.8,93.5,2016
99,University of Göttingen,Germany,25581,25.6,12%,51:49:00,58,49.3,54.5,72.7,31.8,56.4,2016
